ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60629,33,08/09/2020,08/15/2020,170,4376,152,3912.4,1740,24807,1556,22178.8,0.1,0.2,0,110,0.0,98.3,111850,60629-2020-33,POINT (-87.711565 41.777061)
60629,34,08/16/2020,08/22/2020,187,4563,167,4079.6,1859,26666,1662,23840.9,0.1,0.2,0,110,0.0,98.3,111850,60629-2020-34,POINT (-87.711565 41.777061)
60629,35,08/23/2020,08/29/2020,184,4747,164,4244.1,1951,28617,1744,25585.2,0.1,0.2,1,111,0.9,99.2,111850,60629-2020-35,POINT (-87.711565 41.777061)
60629,36,08/30/2020,09/05/2020,173,4920,155,4398.7,1771,30388,1583,27168.5,0.1,0.2,4,115,3.6,102.8,111850,60629-2020-36,POINT (-87.711565 41.777061)
60629,37,09/06/2020,09/12/2020,140,5060,125,4523.9,1389,31777,1242,28410.4,0.1,0.2,2,117,1.8,104.6,111850,60629-2020-37,POINT (-87.711565 41.777061)
60629,4,01/24/2021,01/30/2021,205,15525,183,13880.2,2459,93032,2198,83175.7,0.1,0.2,4,223,3.6,199.4,111850,60629-2021-4,POINT (-87.711565 41.777061)
60634,31,07/31/2022,08/06/2022,179,22171,236,29174.3,927,321479,1220,423026.5,0.2,0.1,0,250,0.0,329.0,75995,60634-2022-31,POINT (-87.797373 41.944967)
60629,38,09/13/2020,09/19/2020,181,5241,162,4685.7,1689,33466,1510,29920.4,0.1,0.2,2,119,1.8,106.4,111850,60629-2020-38,POINT (-87.711565 41.777061)
60634,32,08/07/2022,08/13/2022,135,22306,178,29351.9,920,322399,1211,424237.1,0.2,0.1,0,250,0.0,329.0,75995,60634-2022-32,POINT (-87.797373 41.944967)
60629,39,09/20/2020,09/26/2020,189,5430,169,4854.7,1909,35375,1707,31627.2,0.1,0.2,2,121,1.8,108.2,111850,60629-2020-39,POINT (-87.711565 41.777061)
60629,40,09/27/2020,10/03/2020,129,5559,115,4970,1726,37101,1543,33170.3,0.1,0.2,1,122,0.9,109.1,111850,60629-2020-40,POINT (-87.711565 41.777061)
60630,20,05/10/2020,05/16/2020,105,635,183,1107.4,562,2837,980,4947.3,0.2,0.2,5,30,8.7,52.3,57344,60630-2020-20,POINT (-87.759611 41.971261)
60629,41,10/04/2020,10/10/2020,224,5783,200,5170.3,1924,39025,1720,34890.5,0.1,0.2,0,122,0.0,109.1,111850,60629-2020-41,POINT (-87.711565 41.777061)
60629,42,10/11/2020,10/17/2020,376,6159,336,5506.5,2353,41378,2104,36994.2,0.2,0.2,1,123,0.9,110.0,111850,60629-2020-42,POINT (-87.711565 41.777061)
60629,25,06/20/2021,06/26/2021,6,17464,5,15613.8,1356,131876,1212,117904.3,0.0,0.2,0,259,0.0,231.6,111850,60629-2021-25,POINT (-87.711565 41.777061)
60629,43,10/18/2020,10/24/2020,502,6661,449,5955.3,2994,44372,2677,39671,0.2,0.2,1,124,0.9,110.9,111850,60629-2020-43,POINT (-87.711565 41.777061)
60629,44,10/25/2020,10/31/2020,688,7349,615,6570.4,3479,47851,3110,42781.4,0.2,0.2,3,127,2.7,113.5,111850,60629-2020-44,POINT (-87.711565 41.777061)
60629,45,11/01/2020,11/07/2020,994,8343,889,7459.1,4080,51931,3648,46429.1,0.3,0.2,8,135,7.2,120.7,111850,60629-2020-45,POINT (-87.711565 41.777061)
60629,26,06/27/2021,07/03/2021,8,17472,7,15620.9,1488,133364,1330,119234.7,0.0,0.2,0,259,0.0,231.6,111850,60629-2021-26,POINT (-87.711565 41.777061)
60629,27,07/04/2021,07/10/2021,10,17482,9,15629.9,1434,134798,1282,120516.8,0.0,0.2,0,259,0.0,231.6,111850,60629-2021-27,POINT (-87.711565 41.777061)
60629,46,11/08/2020,11/14/2020,1230,9573,1100,8558.8,4805,56736,4296,50725.1,0.3,0.2,11,146,9.8,130.5,111850,60629-2020-46,POINT (-87.711565 41.777061)
60629,47,11/15/2020,11/21/2020,1020,10593,912,9470.7,4726,61462,4225,54950.4,0.3,0.2,8,154,7.2,137.7,111850,60629-2020-47,POINT (-87.711565 41.777061)
60629,48,11/22/2020,11/28/2020,630,11223,563,10034,3184,64646,2847,57797,0.2,0.2,5,159,4.5,142.2,111850,60629-2020-48,POINT (-87.711565 41.777061)
60629,49,11/29/2020,12/05/2020,881,12104,788,10821.6,4278,68924,3825,61621.8,0.2,0.2,11,170,9.8,152.0,111850,60629-2020-49,POINT (-87.711565 41.777061)
60629,50,12/06/2020,12/12/2020,682,12786,610,11431.4,3962,72886,3542,65164.1,0.2,0.2,12,182,10.7,162.7,111850,60629-2020-50,POINT (-87.711565 41.777061)
60629,51,12/13/2020,12/19/2020,531,13317,475,11906.1,3371,76257,3014,68177.9,0.2,0.2,11,193,9.8,172.6,111850,60629-2020-51,POINT (-87.711565 41.777061)
60629,52,12/20/2020,12/26/2020,323,13640,289,12194.9,2319,78576,2073,70251.2,0.2,0.2,5,198,4.5,177.0,111850,60629-2020-52,POINT (-87.711565 41.777061)
60629,53,12/27/2020,01/02/2021,491,14131,439,12633.9,2749,81325,2458,72709,0.2,0.2,6,204,5.4,182.4,111850,60629-2020-53,POINT (-87.711565 41.777061)
60629,1,01/03/2021,01/09/2021,508,14639,454,13088.1,3393,84718,3034,75742.5,0.2,0.2,6,210,5.4,187.8,111850,60629-2021-1,POINT (-87.711565 41.777061)
60629,16,04/18/2021,04/24/2021,136,16910,122,15118.5,2418,116458,2162,104119.8,0.1,0.2,1,248,0.9,221.7,111850,60629-2021-16,POINT (-87.711565 41.777061)
60629,17,04/25/2021,05/01/2021,158,17068,141,15259.7,2294,118752,2051,106170.8,0.1,0.2,1,249,0.9,222.6,111850,60629-2021-17,POINT (-87.711565 41.777061)
60629,18,05/02/2021,05/08/2021,121,17189,108,15367.9,2209,120961,1975,108145.7,0.1,0.2,1,250,0.9,223.5,111850,60629-2021-18,POINT (-87.711565 41.777061)
60629,19,05/09/2021,05/15/2021,106,17295,95,15462.7,2082,123043,1861,110007.2,0.1,0.2,4,254,3.6,227.1,111850,60629-2021-19,POINT (-87.711565 41.777061)
60629,20,05/16/2021,05/22/2021,80,17375,72,15534.2,1931,124974,1726,111733.6,0.1,0.2,1,255,0.9,228.0,111850,60629-2021-20,POINT (-87.711565 41.777061)
60629,21,05/23/2021,05/29/2021,36,17411,32,15566.4,1662,126636,1486,113219.5,0.0,0.2,1,256,0.9,228.9,111850,60629-2021-21,POINT (-87.711565 41.777061)
60629,22,05/30/2021,06/05/2021,21,17432,19,15585.2,1312,127948,1173,114392.5,0.0,0.2,1,257,0.9,229.8,111850,60629-2021-22,POINT (-87.711565 41.777061)
60629,23,06/06/2021,06/12/2021,15,17447,13,15598.6,1400,129348,1252,115644.2,0.0,0.2,0,257,0.0,229.8,111850,60629-2021-23,POINT (-87.711565 41.777061)
60629,24,06/13/2021,06/19/2021,11,17458,10,15608.4,1172,130520,1048,116692,0.0,0.2,2,259,1.8,231.6,111850,60629-2021-24,POINT (-87.711565 41.777061)
60629,28,07/11/2021,07/17/2021,29,17511,26,15655.8,3135,137933,2803,123319.6,0.0,0.1,0,259,0.0,231.6,111850,60629-2021-28,POINT (-87.711565 41.777061)
60629,31,08/01/2021,08/07/2021,111,17745,99,15865,3515,148991,3143,133206.1,0.0,0.1,1,262,0.9,234.2,111850,60629-2021-31,POINT (-87.711565 41.777061)
60629,32,08/08/2021,08/14/2021,96,17841,86,15950.8,4323,153314,3865,137071.1,0.0,0.1,0,262,0.0,234.2,111850,60629-2021-32,POINT (-87.711565 41.777061)
60629,33,08/15/2021,08/21/2021,100,17941,89,16040.2,2932,156246,2621,139692.4,0.0,0.1,1,263,0.9,235.1,111850,60629-2021-33,POINT (-87.711565 41.777061)
60629,34,08/22/2021,08/28/2021,130,18071,116,16156.5,2525,158771,2258,141949.9,0.1,0.1,2,265,1.8,236.9,111850,60629-2021-34,POINT (-87.711565 41.777061)
60629,29,07/18/2021,07/24/2021,49,17560,44,15699.6,3404,141337,3043,126363,0.0,0.1,2,261,1.8,233.3,111850,60629-2021-29,POINT (-87.711565 41.777061)
60629,35,08/29/2021,09/04/2021,151,18222,135,16291.5,3198,161969,2859,144809.1,0.1,0.1,1,266,0.9,237.8,111850,60629-2021-35,POINT (-87.711565 41.777061)
60629,3,01/17/2021,01/23/2021,290,15320,259,13696.9,2795,90573,2499,80977.2,0.1,0.2,4,219,3.6,195.8,111850,60629-2021-3,POINT (-87.711565 41.777061)
60629,30,07/25/2021,07/31/2021,74,17634,66,15765.8,4139,145476,3700,130063.5,0.0,0.1,0,261,0.0,233.3,111850,60629-2021-30,POINT (-87.711565 41.777061)
60629,36,09/05/2021,09/11/2021,116,18338,104,16395.2,3374,165343,3016,147825.7,0.0,0.1,1,267,0.9,238.7,111850,60629-2021-36,POINT (-87.711565 41.777061)
60629,37,09/12/2021,09/18/2021,125,18463,112,16506.9,4395,169738,3929,151755,0.0,0.1,5,272,4.5,243.2,111850,60629-2021-37,POINT (-87.711565 41.777061)
60629,38,09/19/2021,09/25/2021,88,18551,79,16585.6,4154,173892,3714,155468.9,0.0,0.1,1,273,0.9,244.1,111850,60629-2021-38,POINT (-87.711565 41.777061)
60629,39,09/26/2021,10/02/2021,76,18627,68,16653.6,4900,178792,4381,159849.8,0.0,0.1,1,274,0.9,245.0,111850,60629-2021-39,POINT (-87.711565 41.777061)
60629,40,10/03/2021,10/09/2021,78,18705,70,16723.3,4528,183320,4048,163898.1,0.0,0.1,3,277,2.7,247.7,111850,60629-2021-40,POINT (-87.711565 41.777061)
